,NIC_PT,NAME,NUI_PT,time,state,county,SAEPOVRTALL_PT,SAEPOVALL_PT,unemployed_percentage,State,County
0,38474,"Autauga County, AL",5880,2008,01,001,10.7,5366,5.1, AL,Autauga County
1,120301,"Baldwin County, AL",23631,2008,01,003,9.9,17110,4.6, AL,Baldwin County
2,18370,"Barbour County, AL",3934,2008,01,005,24.5,6399,8.8, AL,Barbour County
3,14321,"Bibb County, AL",3147,2008,01,007,18.5,3753,5.8, AL,Bibb County
4,39426,"Blount County, AL",9482,2008,01,009,13.1,7461,4.7, AL,Blount County
5,6435,"Bullock County, AL",1516,2008,01,011,33.6,3074,10.5, AL,Bullock County
6,13858,"Butler County, AL",2855,2008,01,013,22.3,4415,8.5, AL,Butler County
7,79362,"Calhoun County, AL",14469,2008,01,015,17.6,19441,5.7, AL,Calhoun County
8,23561,"Chambers County, AL",4837,2008,01,017,18.7,6320,14.4, AL,Chambers County
9,16381,"Cherokee County, AL",3370,2008,01,019,17.7,4264,5.7, AL,Cherokee County
10,29623,"Chilton County, AL",6961,2008,01,021,17.1,7162,5.1, AL,Chilton County
11,9607,"Choctaw County, AL",1810,2008,01,023,22.9,3177,8.3, AL,Choctaw County
12,18185,"Clarke County, AL",3675,2008,01,025,20.6,5334,9.0, AL,Clarke County
13,9312,"Clay County, AL",1837,2008,01,027,16.9,2288,7.9, AL,Clay County
14,10227,"Cleburne County, AL",2190,2008,01,029,14.8,2167,5.1, AL,Cleburne County
15,33919,"Coffee County, AL",6315,2008,01,031,15.2,7139,4.8, AL,Coffee County
16,38033,"Colbert County, AL",7060,2008,01,033,12.7,6861,6.5, AL,Colbert County
17,9090,"Conecuh County, AL",1603,2008,01,035,24.9,3223,9.4, AL,Conecuh County
18,7509,"Coosa County, AL",1371,2008,01,037,15.7,1677,8.3, AL,Coosa County
19,24768,"Covington County, AL",4791,2008,01,039,18.9,6852,5.9, AL,Covington County
20,9327,"Crenshaw County, AL",2084,2008,01,041,18.9,2569,5.6, AL,Crenshaw County
21,56027,"Cullman County, AL",12054,2008,01,043,14.8,11909,4.9, AL,Cullman County
22,34827,"Dale County, AL",5530,2008,01,045,15,6966,5.4, AL,Dale County
23,30336,"Dallas County, AL",5431,2008,01,047,29.9,12678,11.1, AL,Dallas County
24,46495,"DeKalb County, AL",11698,2008,01,049,18.7,12690,5.8, AL,DeKalb County
25,53760,"Elmore County, AL",9591,2008,01,051,11.4,8171,5.1, AL,Elmore County
