,NIC_PT,NAME,NUI_PT,time,state,county,SAEPOVRTALL_PT,SAEPOVALL_PT
0,43075,"Autauga County, AL",4002,2016,01,001,13.5,7444
1,148007,"Baldwin County, AL",17733,2016,01,003,11.7,24005
2,15745,"Barbour County, AL",2252,2016,01,005,29.9,6787
3,15358,"Bibb County, AL",1646,2016,01,007,20.1,4099
4,41382,"Blount County, AL",5704,2016,01,009,14.1,8033
5,6158,"Bullock County, AL",937,2016,01,011,32.6,2841
6,14262,"Butler County, AL",1703,2016,01,013,24.8,4880
7,82361,"Calhoun County, AL",10386,2016,01,015,17.1,19057
8,24111,"Chambers County, AL",2876,2016,01,017,19.9,6656
9,17524,"Cherokee County, AL",2366,2016,01,019,16.8,4273
10,31276,"Chilton County, AL",5181,2016,01,021,18.3,7960
11,8932,"Choctaw County, AL",1136,2016,01,023,22.7,2910
12,17279,"Clarke County, AL",2219,2016,01,025,29,6977
13,9117,"Clay County, AL",1416,2016,01,027,18.9,2495
14,10565,"Cleburne County, AL",1427,2016,01,029,17.2,2527
15,37836,"Coffee County, AL",4583,2016,01,031,14.4,7271
16,39272,"Colbert County, AL",4221,2016,01,033,16.7,8982
17,8346,"Conecuh County, AL",1225,2016,01,035,28.1,3464
18,7124,"Coosa County, AL",1097,2016,01,037,17.5,1801
19,25850,"Covington County, AL",3635,2016,01,039,19.6,7228
20,9944,"Crenshaw County, AL",1293,2016,01,041,20.5,2822
21,58152,"Cullman County, AL",8562,2016,01,043,14.9,12133
22,35930,"Dale County, AL",4460,2016,01,045,20.6,9936
23,29107,"Dallas County, AL",3369,2016,01,047,35.4,13987
24,48834,"DeKalb County, AL",9705,2016,01,049,20.5,14362
25,59189,"Elmore County, AL",5531,2016,01,051,13.5,10316
26,24236,"Escambia County, AL",3680,2016,01,053,23.3,8020
27,72757,"Etowah County, AL",9476,2016,01,055,17.5,17624
28,11567,"Fayette County, AL",1401,2016,01,057,20.3,3307
29,22732,"Franklin County, AL",3419,2016,01,059,20.1,6272
30,18130,"Geneva County, AL",2978,2016,01,061,20.9,5495
31,5918,"Greene County, AL",738,2016,01,063,34,2845
32,10623,"Hale County, AL",1341,2016,01,065,23.7,3495
33,11718,"Henry County, AL",1559,2016,01,067,18.7,3159
34,75863,"Houston County, AL",9498,2016,01,069,19.4,19878
35,36402,"Jackson County, AL",5240,2016,01,071,17.5,9007
36,493115,"Jefferson County, AL",53889,2016,01,073,15.3,98463
37,9625,"Lamar County, AL",1204,2016,01,075,18.6,2545
38,65870,"Lauderdale County, AL",7267,2016,01,077,15.2,13739
39,23401,"Lawrence County, AL",3804,2016,01,079,16.8,5530
40,122538,"Lee County, AL",14359,2016,01,081,18.3,28139
41,68309,"Limestone County, AL",8497,2016,01,083,12.8,11511
42,7316,"Lowndes County, AL",937,2016,01,085,31.7,3252
43,12333,"Macon County, AL",1435,2016,01,087,30,5183
44,272865,"Madison County, AL",26207,2016,01,089,13.5,47081
45,13983,"Marengo County, AL",1571,2016,01,091,25.8,5003
46,20549,"Marion County, AL",2644,2016,01,093,18.5,5386
47,67267,"Marshall County, AL",10702,2016,01,095,21,19703
48,301728,"Mobile County, AL",42679,2016,01,097,19.5,79364
49,15173,"Monroe County, AL",2128,2016,01,099,25.7,5472
